index,label,source
512,6,cifar10_test
513,1,cifar10_test
514,5,cifar10_test
515,3,cifar10_test
516,8,cifar10_test
517,9,cifar10_test
518,5,cifar10_test
519,8,cifar10_test
520,5,cifar10_test
521,7,cifar10_test
522,0,cifar10_test
523,7,cifar10_test
524,0,cifar10_test
525,5,cifar10_test
526,0,cifar10_test
527,0,cifar10_test
528,4,cifar10_test
529,6,cifar10_test
530,9,cifar10_test
531,0,cifar10_test
532,9,cifar10_test
533,5,cifar10_test
534,6,cifar10_test
535,6,cifar10_test
536,6,cifar10_test
537,2,cifar10_test
538,9,cifar10_test
539,0,cifar10_test
540,1,cifar10_test
541,7,cifar10_test
542,6,cifar10_test
543,7,cifar10_test
544,5,cifar10_test
545,9,cifar10_test
546,1,cifar10_test
547,6,cifar10_test
548,2,cifar10_test
549,5,cifar10_test
550,5,cifar10_test
551,5,cifar10_test
552,8,cifar10_test
553,5,cifar10_test
554,9,cifar10_test
555,4,cifar10_test
556,6,cifar10_test
557,4,cifar10_test
558,3,cifar10_test
559,2,cifar10_test
560,0,cifar10_test
561,7,cifar10_test
562,6,cifar10_test
563,2,cifar10_test
564,2,cifar10_test
565,3,cifar10_test
566,9,cifar10_test
567,7,cifar10_test
568,9,cifar10_test
569,2,cifar10_test
570,6,cifar10_test
571,7,cifar10_test
572,1,cifar10_test
573,3,cifar10_test
574,6,cifar10_test
575,6,cifar10_test
576,8,cifar10_test
577,9,cifar10_test
578,7,cifar10_test
579,5,cifar10_test
580,4,cifar10_test
581,0,cifar10_test
582,8,cifar10_test
583,4,cifar10_test
584,0,cifar10_test
585,9,cifar10_test
586,3,cifar10_test
587,4,cifar10_test
588,8,cifar10_test
589,9,cifar10_test
590,6,cifar10_test
591,9,cifar10_test
592,2,cifar10_test
593,6,cifar10_test
594,1,cifar10_test
595,4,cifar10_test
596,7,cifar10_test
597,3,cifar10_test
598,5,cifar10_test
599,3,cifar10_test
600,8,cifar10_test
601,5,cifar10_test
602,0,cifar10_test
603,2,cifar10_test
604,1,cifar10_test
605,6,cifar10_test
606,4,cifar10_test
607,3,cifar10_test
608,3,cifar10_test
609,9,cifar10_test
610,6,cifar10_test
611,9,cifar10_test
612,8,cifar10_test
613,8,cifar10_test
614,5,cifar10_test
615,8,cifar10_test
616,6,cifar10_test
617,6,cifar10_test
618,2,cifar10_test
619,1,cifar10_test
620,7,cifar10_test
621,7,cifar10_test
622,1,cifar10_test
623,2,cifar10_test
624,7,cifar10_test
625,9,cifar10_test
626,9,cifar10_test
627,4,cifar10_test
628,4,cifar10_test
629,1,cifar10_test
630,2,cifar10_test
631,5,cifar10_test
632,6,cifar10_test
633,8,cifar10_test
634,7,cifar10_test
635,6,cifar10_test
636,8,cifar10_test
637,3,cifar10_test
638,0,cifar10_test
639,5,cifar10_test
640,5,cifar10_test
641,3,cifar10_test
642,0,cifar10_test
643,7,cifar10_test
644,9,cifar10_test
645,1,cifar10_test
646,3,cifar10_test
647,4,cifar10_test
648,4,cifar10_test
649,5,cifar10_test
650,3,cifar10_test
651,9,cifar10_test
652,5,cifar10_test
653,6,cifar10_test
654,9,cifar10_test
655,2,cifar10_test
656,1,cifar10_test
657,1,cifar10_test
658,4,cifar10_test
659,1,cifar10_test
660,9,cifar10_test
661,4,cifar10_test
662,7,cifar10_test
663,6,cifar10_test
664,3,cifar10_test
665,8,cifar10_test
666,9,cifar10_test
667,0,cifar10_test
668,1,cifar10_test
669,3,cifar10_test
670,6,cifar10_test
671,3,cifar10_test
672,6,cifar10_test
673,3,cifar10_test
674,2,cifar10_test
675,0,cifar10_test
676,3,cifar10_test
