corruption,severity,sample_count,accuracy,accuracy_percent,error_rate,macro_f1,negative_log_likelihood,expected_calibration_error_15_bin,corruption_mean_accuracy
gaussian_noise,1,10000,0.7753,77.53,0.2247,0.7796296782618064,0.9515628218650818,0.13413969630002975,0.42558
gaussian_noise,2,10000,0.5381,53.81,0.4619,0.5596208422054986,2.283985137939453,0.3206675808504224,0.42558
gaussian_noise,3,10000,0.3302,33.019999999999996,0.6698,0.3290566382241383,3.8636815547943115,0.5070148692145944,0.42558
gaussian_noise,4,10000,0.2626,26.26,0.7374,0.23960274410427435,4.433416843414307,0.5703889142751694,0.42558
gaussian_noise,5,10000,0.2217,22.17,0.7783,0.17522921332071686,4.8714094161987305,0.603160112772882,0.42558
shot_noise,1,10000,0.8507,85.07000000000001,0.1493,0.8508468849402765,0.5865585803985596,0.08505103305280204,0.55478
shot_noise,2,10000,0.7578,75.78,0.24219999999999997,0.7622420483707029,1.0455676317214966,0.1461338160455227,0.55478
shot_noise,3,10000,0.4916,49.16,0.5084,0.51000385258238,2.609057664871216,0.35619203920960424,0.55478
shot_noise,4,10000,0.3976,39.76,0.6024,0.407817517746653,3.253066062927246,0.4342568685486913,0.55478
shot_noise,5,10000,0.2762,27.62,0.7238,0.25575550109092576,4.228734016418457,0.541378119328618,0.55478
impulse_noise,1,10000,0.8284,82.84,0.17159999999999997,0.8285568329587835,0.6821624636650085,0.09785226503163581,0.53904
impulse_noise,2,10000,0.7107,71.07,0.2893,0.7032450790991169,1.2441718578338623,0.1689166049644351,0.53904
impulse_noise,3,10000,0.6054,60.540000000000006,0.39459999999999995,0.5889994465500422,1.772170066833496,0.22767408195137978,0.53904
impulse_noise,4,10000,0.3582,35.82,0.6417999999999999,0.34450623396978014,3.1090872287750244,0.4000204276248812,0.53904
impulse_noise,5,10000,0.1925,19.25,0.8075,0.1502938275130084,4.506298065185547,0.5827783030226826,0.53904
defocus_blur,1,10000,0.9369,93.69,0.06310000000000004,0.9370400097796102,0.2342466115951538,0.03279358233809472,0.79942
defocus_blur,2,10000,0.9215,92.15,0.07850000000000001,0.9222537614028539,0.2935275137424469,0.04156950196772817,0.79942
defocus_blur,3,10000,0.866,86.6,0.134,0.8699611420224713,0.5170753598213196,0.07706549821048982,0.79942
defocus_blur,4,10000,0.7562,75.62,0.24380000000000002,0.7685757564590577,1.033077359199524,0.1486482080698014,0.79942
defocus_blur,5,10000,0.5165,51.65,0.48350000000000004,0.537813077282508,2.337346315383911,0.3233557372570038,0.79942
glass_blur,1,10000,0.5278,52.78,0.47219999999999995,0.5139136084161782,2.2564401626586914,0.30825758274346593,0.51144
glass_blur,2,10000,0.544,54.400000000000006,0.45599999999999996,0.5273752029041182,2.122227191925049,0.29408341214060785,0.51144
glass_blur,3,10000,0.5841,58.41,0.41590000000000005,0.5663355190388203,1.9196618795394897,0.26655688658952714,0.51144
glass_blur,4,10000,0.4332,43.32,0.5668,0.4095420109043768,2.8126914501190186,0.3849409490779042,0.51144
